,제품명,카테고리,내용,별점,가격,감성점수
0,비비엔다 순수 다우니퍼 신생아 아기 겨울 블랭킷 이불,만족도,"5년전에 아기 첫 이불로 비비엔다를 선택했고, 아기가 넘 좋아해서 애착 이불로 지금까지 잘 써왔어요. (5년전꺼도 아직도 털 빠짐 없고, 문제없이 잘 사용중^^)  이제 아이가 커서 큰 이불로 바꿔주려고 고민하다다 다시 비비엔다 이불을 구매하게 됐답니다.  기존에 덮던 이불과 털이 달라서 아이가 잘 덮어줄까 좀 걱정했는데 다행히 다우니퍼도 만족스러운지 잘 때 잘 덮어요☺️  120cm로 넉넉해서 초등학교 들어갈때까지 충분히 덮을 수 있을 것 같아요~  ❣️첫 제품 받고 작은 오염이 있었는데 빠르게 교환처리해 주셔서 .",5,"39,900",1.0
1,비비엔다 순수 다우니퍼 신생아 아기 겨울 블랭킷 이불,만족도,오! 크기도 제가 찾던 크기에요! ㅎㅎ 자수모양도 이쁘고 무엇보다 양면이 다른 기능을 하는게 좋아요 타사는 자수 뒷편이 꺼끌한데 이거는 그것도 없고 무게감도 적당히 있어서 아이가 마구 퍼댕기지 않을꺼 같아서 더 좋아요~ 울샴푸로 망에넣고 단독세탁후 건조기로 타월 모드로 해서 돌렸는데 짱짱합니다. 저 겉부분이 좀 더 면 소재일줄알았는데 잘 구김이없고 시원한(?) 통풍소재예요! 자세한사진 보시고 구매하셔야할꺼같아요 ㅎㅎ 어쨌든 전체적으로 마음에 듭니다!,5,"39,900",0.8333333333333334
2,비비엔다 순수 다우니퍼 신생아 아기 겨울 블랭킷 이불,만족도,하트꼼 매니아라 안살수가 없었어요 ㅋㅋ 원래 있던 유모차용 블랭킷이 있어서 고민은 했지만 처분하고 바로구매!!! 너무너무 이쁩니다용🥰😘 유모차끌고 나가면 춥지도 않을것같고 이뻐서 엄마 어깨가 으쓱으쓱🙂,5,"39,900",1.0
3,비비엔다 순수 다우니퍼 신생아 아기 겨울 블랭킷 이불,만족도,부드러워 아기가 쓰기에 좋은거 같아요,5,"39,900",1.0
4,비비엔다 순수 다우니퍼 신생아 아기 겨울 블랭킷 이불,만족도,꽃무늬 튀지않고 깔끔하게 이뻐요. 퍼부분은 정말정말 부드러워서 자꾸 만지게돼요. 아기도 만지게 해주니까 이불안덮는 아긴데  자기가 부비면서 웃고 좋아하네요ㅎㅎ 그리고 겨울이불이라고 무겁지도 않고요. 어른사이즈도 있으면 저도 하나 갖고 싶어요,5,"39,900",1.0
5,비비엔다 순수 다우니퍼 신생아 아기 겨울 블랭킷 이불,만족도,너무귀엽고이뿌네요~,5,"39,900",1.0
6,비비엔다 순수 다우니퍼 신생아 아기 겨울 블랭킷 이불,만족도,아기가 너무 좋아하구 보들해서 제가 더 좋아하는거 같아요. 디자인두 첫찌가 골라줬는데 너무 맘에 들어요. 역시 비비앤다. 따뜻하고 보드랍구 예쁘기까지!,5,"39,900",1.0
7,비비엔다 순수 다우니퍼 신생아 아기 겨울 블랭킷 이불,만족도,"디자인은 같은데 약간 어둡더라구요 원래 이런 색감이구나 하고 감안하고 빨래했는데 밝아졌어요 낮잠이불, 여름침구 다 구매하고 너무 만족 스러워서 믿고 사용하고 있었는데 이게 먼지였나요? 이미 빨래를 해버려서 전화드리기도 좀 그렇고 혹시나 싶어 사용하지 못하고 있어요ㅜ.ㅜ",5,"39,900",0.25
8,비비엔다 순수 다우니퍼 신생아 아기 겨울 블랭킷 이불,만족도,생각보다 얇고 가벼워서 걱정했는데 덮으니 너뮤 따뜻해요!  잘사용할께요☺️,5,"39,900",1.0
9,비비엔다 순수 다우니퍼 신생아 아기 겨울 블랭킷 이불,만족도,엄청 두꺼울줄 알았는데 적당한 두께라서 마음에 들어요ㅎㅎ,5,"39,900",1.0
10,비비엔다 순수 다우니퍼 신생아 아기 겨울 블랭킷 이불,만족도,너무 보들보들하니 좋아서 아기가 좋아합니다.,5,"39,900",1.0
11,비비엔다 순수 다우니퍼 신생아 아기 겨울 블랭킷 이불,만족도,부들부들 느낌이 조아용 하트꼼 세트로 장만했어요,5,"39,900",1.0
12,비비엔다 순수 다우니퍼 신생아 아기 겨울 블랭킷 이불,만족도,이불 풀세트로 구매했어요 세탁전인데 좋아요!,5,"39,900",1.0
13,비비엔다 순수 다우니퍼 신생아 아기 겨울 블랭킷 이불,만족도,정말 부드럽고 ㅎㅎㅎ 폭신하고 기분좋아요~ 따뜻하게 겨울 잘 보낼거 같아요,5,"39,900",1.0
